CODE_ARTICLE;DESIGNATION;PRIX_ORIGINE;PRIX_PROMO;TYPE_PROMO
4350;CRUNCHIES PAPRIKA;1;25;pourcentage
1102;Nescafé Doypack 55G;10.3;8.5;prix
2591;Kellogg's Jumbos;9.5;35;pourcentage
1350;Meliti 0.5 STIKA;6.5;5.8;prix
3842;LONDON DAIRY CRUNCH CARAMEL 125ML;5;4.5;prix
3025;LONDON DAIRY COCONUTELLO;4.3;20;pourcentage
2999;LONDON DAIRY CHOCOLATE HAZELNUT CORNET;4.3;15;pourcentage
4735;MIGLIOR CANE POULET BOITE 405 GR;6.8;6;8;prix
4749;MIGLIOR CANE MINI CROQUETTE MANZO 1,5 KG;28.5;25;pourcentage
4747;MIGLIOR CANE JUNIOR CROQUETTE POLLO 1,5KG;28.5;30;pourcentage

