CODE_ARTICLE;ARTICLES;PV_TTC
2760;CANICHAT;3.8
4733;CIUFFI CHIEN DENTAL STICKS POLO 180GR;8.5
4734;CIUFFI CHIEN STRIP POLLO 200GR;8.5
5413;FELI CAT 5LT;13.8
4728;FELI CAT SUPER 10L;26
5417;JOSL CRISPY DUCK 650G;18.4
5419;JOSL CRUCHY CHICHKEN 650G;18.5
5416;JOSL KITTEN650G;34.9
5415;JOSL STERLINSED CLASSIC;26.8
5421;JOSL TASTY BEEF650G;15.9
2767;KATPAT CHAHIA;3.5
3271;Lilas fantasie ;2
5447;LOULOU MAXI ;4.3
4253;Loulou my petis;4.5
5427;MIGILOR CANE BOCCONI CON SELVAGGINA 405G;6.8
5442;MIGILOR CANE LE SPECIALITA L TALIANE ZUPPETTA 85G;3.8
5437;MIGILOR CANE  L PREFERITI 300g;8.4
5439;MigILOR CANE PRESTIGE MENU DELICATO;15.4
5426;MIGILOR CANE WITH BEEF AND VEGETABILES 405G;6.8
5425;MIGILOR CANE WITH BEEF AVEC BOEUF  405G;6.8
5422;MIGILOR GATTO CROCCANTINI CON MANZO WITH BEEF 400g;13.8
5423;MIGILOR GATTO CROCCANTINI CON PESCE WITH FISH 400G;9.8
5424;MIGILOR GATTO CROCCANTINI CON POLLO WITH CHICKEN 400G;9.8
5432;MIGILOR GATTO PATE CON MANZO E CUORE;3.8
5429;MIGILOR GATTO PATE CON SALMONE 100G;3.8
5430;MIGILOR GATTO PATE CON SELVAGGINA 100G;3.8
4753;MIGILOR GATTO PROFESSIONNEL PATE VITELLO 100GR;3.8
4747;MIGLIOR CANE JUNIOR CROQUETTE POLLO 1.5KG;28.5
5440;MIGLIOR CANE LE SPECIALITA L TALIANE 405G;8.4
5441;MIGLIOR CANE LE SPECIALITA L TALIANE SPEZZATINO 405G;8.4
5436;MIGLIOR CANE L PREFERITI 300g;8.4
4749;MIGLIOR CANE MINI CROQUETTE MANZO 1.5 KG;28.5
4735;MIGLIOR CANE POULET BOITE 405 GR;6.8
4746;MIGLIOR CANE PREFRITI POLLO TACCHINO 150GR;5.8
4745;MIGLIOR CANE PREFRITI VITELLO CAROTE 150G;5.8
5438;MIGLIOR CANE PRESTIGE MENU RUSTICO;15.4
4752;MIGLIOR CANE PROFESSIONNEL PATE VITELLO ;6.8
4751;MIGLIOR CANE UNICO SALO 100GR;3.8
4750;MIGLIOR CANE UNICO SOLO VITELLO POCHON 100GR;3.8
5433;MIGLIOR GATTO CON POLLO E TACCHINO 100G;3.8
5446;MIGLIOR GATTO CROCCANTINI ADULT 2KG;28.4
5431;MIGLIOR GATTO PATE CON POLLO E CONIGLIO 100g;3.8
4738;MIGLIOR GATTO PRELIBATTI POCHON MANZO CAROTE 100GR;3.8
4741;MIGLIOR GATTO STERILISED MANZO FEGATO CAROTE 100GR;3.8
4743;MIGLIOR GATTO STERILISED PESCE AZZURO 85GR;3.5
4740;MIGLIOR GATTO STERILISED POLLO AGNELLO ORTAGGI 100GR;3.8
4742;MIGLIOR GATTO STERILISED SALMONE 100GR;3.8
4744;MIGLIOR GATTO STERILISED SALMONE 85GR;3.5
4739;MIGLIOR GATTO STERILIZED POLLO PROSCUIUTE 100GR;3.8
5434;MIGLIOR GATTO UNICO AGNELLO LMB 85G;4.3
4737;MIGLOIR GATTO AGNELLO 100GR;4.8
4736;MIGLOIR GATTO PROFESSIONNEL PATE PESCE ET GAMBERETTI;6.8
4220;MIICHA;4.8
5443;MORANDO PRFESSIONNEL ADULT 400G;6.8
5444;MORANDO PRFESSIONNEL ADULT 405g;6.8
4754;MORANDO PRFESSIONNEL GATTO PATE AGNELLO 400GR;6.8
4544;NABILUS LAVENDER;23.5
4543;NABILUS MARSEILLE SOAP;23.5
4540;NABILUS PRMINIUM CAT LITTER GREEN APPLE;14.5
4539;NABILUS PRMINIUM CAT LITTER ORANGE SCENTED;14.5
4542;NOBILUS BABY POWDER 10LT;23.5
4541;NOBILUS PREMIUM CAT LITTER LAVENDER SCENTED;14.5
5414;UNICA CLASSE 1,5KG;28.5
4730;VANCAT COMPACT BABY POWDER 5KG;19.4
4729;VANCAT COMPACT CLASSIC 5KG;18.5
4731;VANCAT COMPACT LAVENDER 5KG;19.4
4732;VANCAT COMPACT ORANGE 5KG;19.4
