CODE_ARTICLE;ARTICLES;PRIX
3517;Pain BURGER complet;2
3516;PAIN CHAWARMA 10PCS;3.8
3514;PAIN CHAWARMA 5PCS RAGHIF;3.2
4407;PAIN DE MIE AUX CEREALES-MOULIN DOR;3.2
4640;PAIN DE MIE BRIOCHE MOELLEUX-MOULIN DOR;3.2
3502;PAIN DE MIE CEREALE;3.2
3503;PAIN DE MIE COMPLET;3.2
4408;PAIN DE MIE NATURE MOULIN D'OR;2.9
2985;PAIN FANKOUCH;0.2
3496;PAIN LIBANAIS 28CM 5PCS;2.8
3497;PAIN LIBANAIS COMPLET;2.9
4401;PAIN MAXI TACOS 240GR;6.6
4400;PAIN MAXI TACOS 402GR;8.9
3515;PAIN ORIENTAL COMPLET;3.2
3498;PAIN PANINI*4;2.9
4103;PAIN SEMOULE;0.6
3034;PAIN TABOUNA;0.9
2657;CAKE AU CHOCOLAT VANOISE;6.8
2662;CAKE DROO VANOISE;6.4
2655;CAKE MARBRE VANOISE DE 340GR;6.5
2721;CAKE VANILLE VANOISE;6.4
