CODE_ARTICLE;DESIGNATION;PV_TTC
4515;TAKIS SPICY QUESO 90GR;6
4186;TAKIS FUGO 100G;6
3449;MAD CORN'S HOT CHILI 70G;4,5
3450;MAD CORN'S CHEESE;4,5
4143;LOS GRUNOS KOREAN BARBECUE;4,3
4838;LAYS FROMAGE ET OIGNON 80GR;4,5
4395;LAYS FROMAGE 80GR;4,5
3814;LAY'S CHEESE 43G;2,5
4230;DORITOS FLAMIN HOT LEMON;5,5
2672;DORITOS FLAMIN'HOT CHIPS 43G;2,5
3101;DADDY S CHIPS TRUFFE PARMESAN;4,5
4141;DADDY S CHIPS SEL DE MER;4,3
3102;DADDY S CHIPS ROMARIN;4,5
3105;DADDY S CHIPS PEPPER RASPBERRY;4,5
3104;DADDY S CHIPS PAPRIKA;4,5
3103;DADDY S CHIPS CHEVRE ET MIEL;4,5
3107;DADDY S CHIPS CHEDDAR ONION;4,5
3106;DADDY S CHIPS BARBECUE;4,5
3108;DADDYS CHIPS AIL ET PERSIL 70G NEW GOLDEN KRISPYS;4,5
4052;CRUNCHIPS LORENZ 100 GR;6,8
4350;CRUNCHIES PAPRIKA;1
4349;CRUNCHIES CHEESE;1
2680;CHIPS LAYS SEL 80GR;4,5
3813;CHIPS LAY'S CHEESE & OIGNON 45G;3,5
2675;LAY'S WITH CHEESE ONION FLAVOR;4,5
2674;LAY'S WITH CHEESE FLAVOR;4,5
2681;LAYS CHILI ET LEMON 80GR;4,5
