CODE_ARTICLE;DESIGNATION;PV_TTC
4809;ZUCKERFREI WIEENER SANDRINGE 200G;10,8
4810;ZUCKERFREI VANILLE COOKIES 200G;10,8
4813;ZUCKERFREI KOKOS COOKIES 200G;10,8
4812;ZUCKERFREI HASELNUSS RINGE 200G;10,8
4808;ZUCKERFREI HAFER COOKIES 200G;10,8
4820;ZUCKERFREI BUTTERKEKS 200G;9,7
4815;ZUCKERFREI BUTTER COOKIES 200G;10,8
2185;X-PLOSE TRIPLE CHOCOLAT;1,2
4560;VITAMIN BARS;6,8
4358;VIO SUPERFRESH PEPPERMINT;1,5
4357;VIO SUPERFRESH MINT;1,5
4361;VIO EXTRA PRO;2,5
4360;VIO EXTRA EUCALYPTUS;2
3412;TWIX WAFER ROLLS;1,5
2056;TUC POCKET 32G;0,8
2053;TUC CLASSIQUE;1,5
2786;TOAST SANS SEL 240G;5,5
3413;TOAST SANS SEL 240G;5,8
2246;TIGATO FRAISE 125G;2
3553;TEST2;2,8
2176;TARTE FIGUE SAIDA;0,9
4122;TAKIS VOLCAND;6
4123;TAKIS FUEGD 40G;3,5
4265;SWEET FLAKES 250GR;6,8
2779;SUPER CAR;5,5
2157;SUCETTE MAXI BUM;1
3937;SOUP EXTRVAGANCE;4,9
3912;SNICKERS CHOCOLAT 50G;3,5
4440;SNICKERS CHOCOLAT 40G;3,8
3071;SNICKERS CHOCOLAT 30GR;2,9
4495;SMITCHOU;1,2
2054;SMILE VERT NOISETTE 190GR;1,8
2052;SMILE ROUGE CHOCOLAT;1,8
2087;SMILE CHOCOLAT AU LAIT 190G;1,8
3680;SHCHOKO BONS;1,5
3681;SCHOKO BONS;1,5
4818;SAVOIARDI 400G;16,4
4816;SAVOIARDI 200G;8,9
4552;SAMRT SURPRISE EGG GIRL;3
4553;SAMRT SURPRISE EGG BOY;3
2145;SAID TRIS NOISETTES;1,5
4593;SAIDA OXO MAXI;2
2068;SABLITO TOUT CHOCO 128G;2
2161;SABLITO FIGUE 128G;2
2065;SABLITO CHOCOLAT;2
2066;SABLITO ABRICOT 128G;2
3762;SABLE AU NOIX DE COCO CAMPI;1,8
3763;SABLE AU CACAO CAMPI;1,8
2208;ROCKY GOUT LAIT;0,5
2603;ROCKY CHOCOLAT 25GR;0,4
2273;RINGO POCKET 35GR TOM;0,8
2562;RAFFAELLO 30G;7
3668;PRINGLES ORIGINAL 165 GR;15,5
2114;PRINCE CREME VANILLE 60GR;1,3
4209;PRINCE CHOCOLAT SAIDA;2
4437;POWER CUPS NOISETTE 50G;4,5
4438;POWER CUPS 50G;3,5
4494;PECTOL CERISE;2
2201;PATE A GLACER NOIR 1KG SAID;18,2
3338;PANDA SURPRISE;5,5
2602;PALET POCHON AUX PEPITES 48 G SAIDA;1,5
2605;PALET POCHON AU BEURRE NATURE 48 G SAIDA;1,5
3932;PAINS AU CHOCOLAT;5,8
2117;OXO BLACK 140G SAIDA;2
4895;OREO ORIGINAL;11,8
4064;NUTELLA BISCUIT;4,8
4858;NUTELLA 825G;39,5
2528;NUTELLA 600GR;37,5
2259;MUFFINS TEKTO CHOC LA MADELEINE VRAC;0,8
2279;MOUFFINS MIXTE CHOCO VANILLE LA MADELEINE VRAC;0,9
3728;MOON CAKE ZRIR;1,2
2190;MOON CAKE;1,2
3395;M&M'S CHOCOLAT 45G SOINDI;5,5
4236;MINI CAKE NATURE 45GR;0,7
4119;MILK CAKE AU LAIT MOULIN D OR;0,8
4118;MILKA AU LAIT;4
2532;MENTOS GUM WHITE TUTTI FRUTTI;4,3
2534;MENTOS GUM WHITE SWEET MINT;4,3
2517;MENTOS GUM STRAWBERRY;3,2
2520;MENTOS GUM RED FRUIT 12PCS;6,8
4085;MENTOS FANTA;3,3
2535;MENTHOS WHITE SWEET MINT;11,5
2537;MENTHOS WHITE PEPPERMINT;11,5
2544;MENTHOS GUM 3D WATERMELON;2,5
2543;MENTHOS GUM 3D STRAWBERRY;2,5
2545;MENTHOS GUM 3D FRESH MINT;2,5
3026;MENI CAKE 40G;0,8
2548;MELODY FRAISE;2,5
4555;MEELOX MARSHMALLOW;3,3
4696;MAXY BREAK;2
4697;MAXY BREAK;2
3337;MAXIIMO EGG;4,5
2059;MAJOR LAIT 175GR;1,8
2060;MAJOR FRAISE 175GR;1,8
2063;MAJOR CHOCOLAT;1,8
2062;MAJOR CARAMEL 175GR;1,8
2298;MAESTRO GRUNCHI Z;1,1
2254;MAESTRO 100 GR AMANDE;4,3
3202;MADELAINE 400GR SELJA;5,3
4588;LU GRANOLA;12,8
4047;LUCKY BALL;5,5
2214;LOVE D'OR MOULIN D'OR;1
3388;LOT BISCOFF 125G LOTUS;6,8
4291;LE GOURMAND COOKIES PEPITES CHOC AMANDE CARAMELISE;3,4
3655;LE GOURMAND COEUR LBM;3,2
4290;LE GOURMAND CHOCOS COEUR CHOCOLAT;3,4
4229;LBM TEA TIME SANS SUCRE;3,3
3551;LBM PROUTA GOLD;4,3
3990;LBM PROUTA;4,3
4228;LBM COOKIS SANS SUCRE;3,3
4292;LBM COOKIES SANS SUCRE;3,3
3694;LBM BY KINGO;2,8
4572;LAVIDA HAZELNUT CHOCOLATE 350G;7,3
4571;LAVIDA CREAM SPREAD WINT TLAVOUR 390ML;7,3
2260;LA MADELEINE ALASKA CHOCO;1,3
4628;KROSS AU LAIT;0,8
3495;KINDER TRANKY;1,5
2519;KINDER SCHOKO BONS 125GR;22,5
3871;KINDER JOY GARCON;5,3
3872;KINDER JOY FILLE;5,8
3745;KINDER DELICE;3,8
3601;KINDER CHOCOLAT AU LAIT MAXI;2,3
2263;KIF D CROC CITRON;2,5
2294;KAKI THE KING 18GR;0,35
4216;KAKI ROYAL;0,4
3933;KAAK AUX FENOUILS;4,5
4867;HOLLYWOOD 2FRUITY;4,5
2553;HARIBO WORMS;7,5
2556;HARIBO TEETH;7,5
2550;HARIBO SODA PARTY;7,5
4610;HARIBO PRIMAVERA;7,5
4242;HARIBO OHANTASIA;7,5
2557;HARIBO HAPPY CHERRIES;7,5
2551;HARIBO GOLD BEARS 80GR;7,5
4135;HARBO CHAMALLOWS 25G;2,5
3671;HAPPY GAUF 2 BAR F ENROBE CHOC;2,5
3831;HAPPY FULL SOUR LANGUES 70GR;1,5
3830;HAPPY FULL SOUR BOTTLES 70GR;1,5
2100;HAPPY FULL FRUITS 70G;1,5
2083;HAPPY FULL CHENILLE WORMS 70 GR;1,5
2102;HAPPY FULL ANNEAUX 70GR;1,5
4551;HAPPY BEAR;2
4868;HALLOWEEN;2,5
4760;GRANO BARRE RAISIN ET FRUITS SECS;2
4761;GRANO BARRE CHOCOLAT MANDARINE ET FRUITS SECS;2
4762;GRANO BARRE ABRICOT ET FRUITS SECS;2
2147;GRAIN D OR MIEL 300GR;6,8
2211;G.O.MIEL PRST 35GR CC10/12 NESTLE;1,2
2091;GAUFRETTE TOM 16 VANILLE;1,2
2095;GAUFRETTE TOM 16 FRAISE;1,2
2096;GAUFRETTES NOISETTES LINGOT 100G;1,2
2086;GAUFRETTES LOOPI GOUT CHOCOLAT;1,5
2098;GAUFRETTES FRAISE LINGOT 100G;1,2
2090;GAUFRETTE NOISETTE TOM;1,2
2275;GAUFRETTE NOISETTE 100G;1,2
2274;GAUFRETTE CHOCOLAT SAIDA;1,2
2178;GAUCHO BROWNIE;0,35
4493;FLORIDA;0,2
3385;FLOCONS D AVOINE GRANDES FEUILLES 500G;8,9
3822;FITNESS 420GR;16,9
2245;FIORI NOUGAT 36GR;1,3
4627;FIDJI TANDEM 22GR;1
3673;FERRERO 172GR;45
2531;FERRERO 16;39,8
4167;FERERO ROCHER;1
4353;EL MORDJEN 700G;23
3573;DONUTS MOULIN D OR VANILLE;0,9
35730;DONUTS CREME FRAISE 50GR;0,9
2189;DONUTS CACAO MOULIN D OR;0,9
2262;D.CROC CHOCOLAT 110GR;2
3148;DBEST DREAM DRAK;1,5
4492;DAMLA SOUR BELTS RUMBOW;1,5
4839;CRUNCHIES HONEY BBQ;1,5
4841;CRUNCHIES BARBECUE;1,5
2231;CROUSTINA CHOCO GM;1,5
2230;CROUSTINA CAPPUCCINO PM;0,6
2226;CROUSTINA CACAO VANILLE 33GR;0,6
2123;CROUSTINA CACAO VANILLE 100GR;1,5
2122;CROUSTINA AU LAIT;1,5
2232;CROUSTINA AU LAIT;0,6
4716;CROSTATINI FRAISE 60 GR;1
2234;CROSTATINI FIGUE 60 GR;1
4105;CROQUETTE 110 GR TOM;2
4356;CROISSANT MOLTO XL CHOCOLAT;0,8
4764;CRIX;1
2213;CRISPONUTS AUX NOISETTES;1,2
2722;CREME PATISSIERE SACHET PISTACHE VANOISE;0,9
2664;CREME NOISETTE 40G;0,9
2667;CREME DESSERT COUT CAFE;0,9
2725;CREME DESSERT CARAMEL VANOISE 40G;0,9
2723;CREME DESSERT BANANE VANOISE 40G;0,9
2194;CREME A TARTINER SAID 180 GR;5,2
2239;CREME A TARTINER NOISETES NOUTY 1KG;14,5
2198;CREME A TARTINER AUX NOISETTES NOUTY 150G;3,5
2202;CREME A TARTINER AUX NOISETTES SAID 500G;8,5
4650;COTE D OR LAIT MELK;17,8
4264;CORN FLAKES NATUREL 250GR;6,8
2118;COOKIES PEPITES DE CHOCOLAT SAIDA;2,8
3764;COOKIES AUX PEPITES DE CHOCOLAT ET AUX CEREALES CAMPI;2
3765;COOKIES AUX PEPITES DE CHOCOLAT CAMPI;2
2203;COOKIES AUX PEPITES BLANC 90G LBM;2,3
2578;CONFITURE DE FRAMBOISE 380G HALWANI BROS;6,8
3374;CLUB CORNFLAKES 50GR;1,7
2542;CHUPA CHYPS BONBONS;1
2541;CHUPA CHYPS 10.5G;1,5
4063;CHUPA CHUPS;1,8
4592;CHUNKOS 40GR;1
3396;CHOCOLATE COOKIES CHAMPS;6,8
2225;CHOCO TOM CHOCOLAT 35GR;0,6
4263;CHOCO SCOOPS 250GR;6,8
3100;CHOCOLAT MARS 51GR;3,5
4261;CHOCOLAT GATEAU;1,5
4699;CHOCO FIESTA;1
4235;CHOCO CANDY;5,5
3820;CHOCAPIC BARS;3,6
4121;CHARLOTTE MOULIN D OR;1,3
4594;CHARLOTTE BLACK & WHITE;1,5
3511;CATTY SURPRISE;7,3
4712;CAROO BABOU;2,2
4819;CANTUCCINI;12,5
3577;CANDY TOYS;9,5
4496;CANDY JOY;2,5
3836;CANDY DONIA;5
3761;CAMPL ROYAL GOUT CHOCOLAT;2
3760;CAMPL MULTI GRAINES SANS SUCRE;3,3
3759;CAMPL AVOINE ET CHIA SANS SUCRE;3,3
4822;CAMPIELLO NOVELLINO;13,3
2179;CAKE PLUM SAIDA;0,7
3879;CAKE ORANGE VANOISE 485GR;5,5
4842;CAKE DYARI;1,5
3878;CAKE CITRON VANOISE 485GR;5,5
3995;BULDAK CREAM CARBONARA;11,5
3343;BUBBLE GUM;2,3
3344;BUBBLE GUM;2,3
2183;BREAK VANILLE;0,8
2286;BREAK CHOCOLAT;0,7
2257;BREAK 4;1,2
4598;BOUNTY X5;15,8
2155;BONBON FOURRE CHAMIA 1 KG PAPILLON;12,5
2057;BISCUIT START CEREALS LAIT 250G;2,5
2055;BISCUIT STAR 60G;1,5
2283;BISCUIT SAIDA 24 PCS;2
3116;BISCUIT SAIDA 12 PCS;1,3
4289;BISCUIT PTIT MATIN SPECULOOS 95G LBM;2,3
2104;BISCUIT PTIT MATIN CACAO PEPITES CHOCOLAT 115G LBM;2,2
