CODE_ARTICLE;ARTICLES;PRIX
2647;Sucre glace Vanoise;5.8
2041;Sucre en morceaux;4.5
4823;Nutella pâte à tartiner 180GR (vrac);18.5
2943;Nestlé céréale Nesquik 330GR;15.9
1102;Nescafé Doypack 55G;10.3
2591;Kellogg's Jumbos;9.5
2593;Kellogg's Chocos;9.5
2956;Granomum Golden Granola 50GR;4.2
2950;Granomum Golden Granola 320GR;16.5
2953;Granomum Golden Granola 100GR;6.9
2955;Granomum Chocolate Granola 50GR;4.2
2948;Granomum Chocolate Granola 320GR;16.8
2645;Cacao en poudre Vanoise 7GR;0.7
2646;Cacao en poudre Vanoise 150GR;8.8
2643;Levure pâtissière Vanoise;0.4
2579;Confiture de figue Halawani Bros 380G;6.8
4149;Confiture abricot 1/2 OF Le Petit Paris;4.9
2266;Chamia La Gazelle nature 350G boîte;8.4
2267;Chamia La Gazelle aux amandes 350G boîte;9.8
4035;Monari Federzoni Glassa;18.5
3779;Lait concentré Vanoise 450GR;14.2
2003;Lait concentré Vanoise 395GR;9.8
2030;Amidon de maïs Vanoise 150G;1.9
