CODE_ARTICLE;ARTICLES;PRIX
3382;TERROIR DE LANSARINE SOUANI 150G;12.9
2930;RAPE EMMENTAL & GOUDA 110GR;5.8
4850;PRESIDENT SIGNATURE;6.3
2776;PRESIDENT CROQUE 10T;5.8
2775;PRESIDENT BURGER 5T;3.4
4015;PORTION MAJESTE GOUDA 80G;5.3
2928;PORTION KAISER EDAM 1/16 100G;5.8
2929;PORTION KAISER GOUDA 1/16;5.8
3988;MEULE EDAM KAISER 270GR;13.3
2926;GOUTER MAX EMMENTAL;2.1
2925;GOUTER;1
4834;FROMAGE EDAM 100G;4.5
3327;FROMAGE DELICE FILET;1
4014;EDAM PORTION 80GR MAJESTY;5.5
4797;DELICE 48 PORTIONS;15.8
4637;CUISTOT CREME 2 PORTIONS PRESIDENT;5.8
4636;CUBE GOUDA KAISER;6.5
2805;CARRE PRESIDENT 24 PORTIONS;11.5
2802;CARRE PRESIDENT 12 PORTIONS;6.8
2891;CARRE DELICE 24;11.4
3378;CAMEMBERT CALIFE SOUANI;15.9
3379;CAMEMBERT AU FOUR;14.3
4638;BOYAU MOZZARELLA KAISER 80GR;5.5
2782;BARQUETTE FRAIDOUX 120GR IAT;3.8
4299;BARQUETTE 10T KAISER EDAM;9.4
2761;SALAMI EL MAZRAA;3.5
4796;PEPPERONI CHAHIA 240G;5.8
4795;CHORIZO CHAHIA 140G;8.9
