code,designation,price
1407,THOMSON,5.5
1380,RAISIN,8.5
1381,PRUNE ROUGE,6.5
1379,POMME,6.5
1384,PECHE ROYAL,5.5
1382,PECHE PLATE,6.8
1402,KARMOUS,14
1392,CITRON,5.5
1410,BANANE,21
1383,ABRICOT,4.5
1401,TOMATES CERISES,6
1387,TOMATES,2.7
1399,RAISIN ROUGE,10.5
1386,POMME DE TERRE,3.5
1385,PIMENT VERT DOUX,4.9
1397,PIMENT MESKI,4.9
1396,PIMENT FORT,4.9
1388,ONION,2.8
1409,MADALINA CHINWA,6.5
1404,GRENADE,5.5
1405,DATES,15
1389,COURGETTE,2.5
1390,CONCOMBRE,5.5
1400,CITROUILLE,5
1408,CAROTE,4.9
1398,BASILIC,4
1391,AUBERGINE,3.8
1393,AIL,22

