CODE_ARTICLE;DESIGNATION;PV_TTC
4861;WAW FRAISE PASTEQUE;3
4862;WAW CAFE;3
3845;VIVA CITRON 1 L;3
2210;VIVA CIDRE 24CL;1,8
3351;TYMBARK ORANGE;4,5
2073;TROPICO BOISSON GAZEUSE 0.5 L;1,8
2173;TROPICO 1L BOISSON;3
4788;TROPICO 125 ML;0,8
3957;SPRITE 1 L;3
4449;SPITZ PINEAPPLE DRINK;6,5
4510;SHWEEPPES LEMON MINT 250ML;3,8
4576;SHWEEPPES GRENDINE 900ML;3
4511;SHWEEPPES GOLD 250ML;3,8
4513;SHARK STIMULATION 250ML;5,5
4231;SHARK ENERGY DRINK;4,5
4700;SEVEN UP 7;2,8
4366;SCHWEPPES TONIC 1L;3
2130;SCHWEPPES TONIC 1L;3
4512;SCHWEPPES POMEGRANATE 250ML;3,8
4644;SCHWEPPES GRENDINE 240 ML;1,8
3846;SCHWEPPES GOLD PECHE 24CL;2,5
3491;SCHWEPPES GOLD ANANAS;2,5
3876;SCHWEPPES GOLD 24CL;2,5
4181;SCHWEPPES CITRON MENTHE 30CL;2,5
4183;SCHWEPPES CITRON MENTHE 24CL;2,5
4580;SCHWEPPES ANANAS CACO 240ML;1,8
4578;SCHWEPPES ANANAS 900ML;3
4698;SCHWEPPES 1.5L;3,8
4577;SCHWEEPS AGRIMES 1L;3
4792;RAOUA LIME GRENADINE 24CL;1,8
2765;RAOUA LIME GRENADINE 1L;3
2135;RAOUA 1.5L;3,8
3048;PUNCH PULPE ORANGE 0.5L;1,8
3050;PUNCH PULPE 1L;3
3047;PUNCH POMME 0.5L;1,8
3420;PUNCH ORANGE 30CL;1,5
3051;PUNCH ORANGE 1L;3
2899;PUNCH FRUITE PULPE 1.5L;3,8
2900;PUNCH CIDRE 30CL;1,5
3053;PUNCH CIDRE 1L;3
3054;PUNCH ANANAS 30CL;1,5
4549;PUNCH 0.5 L;1,8
4629;PRIME 500 ML;18,5
4630;PRIME 500 ML;18,5
4631;POWER RDE 500 ML;13,5
2142;OH NECT POIRE TETRA 1L SNBG;4,3
4789;OH MANGUE 25CL;1,5
2216;OH BERRIES 1L;4,2
2158;OH BANANE ORANGE PRISMA 25 CL SNBG;1,5
3904;MONSTER ZERO SUGAR;11,5
4129;MONSTER ULTRA WATERMELON;11,5
3906;MONSTER JUICE;11,5
4766;MONSTER;11,5
4615;MOGU MOGU PINEAPPLE;8,5
4297;MIRINDA ORANGE;2,8
4582;MAYOKA 300ML;2
4346;LIPTON PESCA ICE TEA;5,5
4433;KEFIR MANGUE 270 GR;1,6
3909;JUS THYMBARK CACTUS 1L;7,8
2293;JUS OH MANGUE 1L;4,3
2134;JUS OH BERRIES 25CL;1,5
2233;JUS MANGUE STIL 20CL;1,2
2292;JUS MANGUE STIL 1L;3,5
4595;JUS ENERGY ORANGE 25CL;1,5
3891;JUS DELICE RAISIN 1L;3,6
2914;JUS DELICE MULTI VIT 1 L;3,6
3417;JUS DELICE MOJITO 1 L;3,6
3043;JUS DELICE FRUIT BLANC 1L;3,6
2270;JUS COCKTAIL STIL 20CL;1,2
2220;JUS COCKTAIL STIL 1L;3,8
2272;JUGO KIDS 125ML;0,8
4398;ICE TEA FRUITS ROUGES 300ML;2,5
2981;ICE TEA ARIS POMME;2,5
2978;ICE TEA ARIS CITRON;2,5
3969;FRUZZY TROPICAL DELICE 180ML;1,2
2917;FRUZZY ORANGE 125ML;0,7
4268;FRUTEEZ COMPOTE POMME POIRE;2,7
3964;FANTA POMME 30 CL;1,5
4725;FANTA POMME 1 L;3
4790;FANTA CITRON 1 L;3
4673;ERON ENERGY DRINK;3
2778;EAU GAZIFIER GARCI 1L;0,9
4018;DIVA BOISSON AU JUS D'ORANGE 1L;4,3
4294;DELISSO FRUIT ROUGES 20CL;1,5
2898;DELIO ANANAS 25CL;1
2912;DELICE DE FRUITS PECHE 1 L;3,6
