article;produits;etat de stock (en stock 100 ou rupture de stock 0)
1;OEUFS;0
1017;Thon Sidi Ali à l’huile végétale140 g;0
1019;Thon Sidi Maâwya à l’huile végétale 140 g;0
1024;Thon La Goulette 400 g (HO);0
1027;Sardine Le Grand Bleu HV 110 g;100
1055;Haricots rouges Mami 380 g;100
1060;Haricots blancs Mami Garden 400 g;100
1064;HUILE VEGETALE 0.9L SAFI CHEF;100
1068;Safi huile de ma•s 0.9L;100
1102;NescafŽ Doypack 55G;100
1102;NescafŽ Doypack 55G;100
1114;NESCAFE CLASSIC 45G;100
1178;COCA COLA 0.5L;100
1208;Mayonnaise Jadida 240ml;100
1214;Bonna Ketchup 270ml;100
1244;Spaghetti 1 Randa 500G;100
1254;Escargot 2 Randa 500G;100
1276;Mhamms fin Randa 500G;100
1280;Chorba millet 500G Randa;100
1333;AKAJOU 1KG AL BARAKA;100
1335;LOUZ HLOU 1KG AL BARAKA;100
1344;Eau Dima 2L STIKA;100
1345;Eau DIMA 1.5L STIKA;100
1348;Eau SAFIA 1.5L STIKA;100
1350;Meliti 0.5 STIKA;100
1350;Meliti 0.5 STIKA;100
1379;POMME;100
1380;RAISIN;100
1381;PRUNE ROUGE;100
1382;PECHE PLATE;100
1383;ABRICOT;100
1384;PECHE ROYAL;100
1385;PIMENT VERT DOUX;100
1386;POMME DE TERRE;100
1387;TOMATES;100
1388;ONION;100
1389;COURGETTE;100
1390;CONCOMBRE;100
1391;AUBERGINE;100
1392;CITRON;100
1393;AIL;100
1396;PIMENT FORT;100
1397;PIMENT MESKI;100
1398;BASILIC;100
1399;RAISIN ROUGE;100
1400;CITROUILLE;100
1401;TOMATES CERISES;100
1402;KARMOUS;100
1404;GRENADE;100
1405;DATES;100
1407;THOMSON;100
1408;CAROTE;100
1409;MADALINA CHINWA;100
1410;BANANE;100
2003;Lait concentrŽ Vanoise 395GR;100
2005;CHOCO POUDRE SAID 200G;100
2006;CHOCO POUDRE SAID 100G;100
2007;CHICOREE BRAVA DOSETTES;100
2008;NASCAFE CLASSIC 1.8G;100
2011;Thon La Goulette 160 g (HO);100
2013;Ma•s Bonduelle 140 g;100
2014;Thon Rayes Labhar ˆ lÕhuile vŽgŽtale 130 g;100
2023;Chorba 2 500GR Warda;100
2025;Semoule fine Randa 1KG;100
2030;Amidon de ma•s Vanoise 150G;100
2031;Masfouf Randa 1KG;100
