CODE_ARTICLE;DESIGNATION;PV_TTC
3711;SELECTION FESTIF VIPA 100G;6.4
37110;SELECTION PLAISIR VIPA 100G;7.3
3713;SELECTION ORIENTAL VIPA 100G;6.8
3721;POUDRE NUTRITIVE D AVOINE;6.5
4883;PISTACHE VIPA;6.4
3918;GRANOLA DAILY FRAISE/FS VIPA;15.5
3724;GRANO BARRE CARAMEL SALE ET FRUITS SECS;2.0
4884;GRAINES DE COURGE;13.5
3720;DAILY MIEL VIPA;15.5
3717;DAILY CHOCOLAT VIPA;15.5
3718;DAILY CEREALES SANS SUCRE VIPA;15.5
3723;CRAK'O BARRE CACAHUETE, SESAME ET RAISIN VIPA;2.0
3709;CACAHUETE TACO VIPA 80GR;2.8
3712;CACAHUETES PAPRIKA VIPA;2.8
3919;CACAHUETES CARAMEL VIPA;2.8
3708;CACAHUETE FROMAGE VIPA 80GR;2.8
